duration : 116, tx :1281672, rx :27623, txbr :86, rxbr :0, txAudioBr :74, rxAudioBr :0, users :1

duration : 118, tx :1304610, rx :28144, txbr :91, rxbr :2, txAudioBr :77, rxAudioBr :0, users :1

duration : 120, tx :1326411, rx :28438, txbr :87, rxbr :1, txAudioBr :76, rxAudioBr :0, users :1

duration : 122, tx :1348494, rx :28882, txbr :88, rxbr :1, txAudioBr :75, rxAudioBr :0, users :1

duration : 124, tx :1371658, rx :29007, txbr :92, rxbr :0, txAudioBr :76, rxAudioBr :0, users :1

duration : 126, tx :1393356, rx :29547, txbr :86, rxbr :2, txAudioBr :75, rxAudioBr :0, users :1

duration : 128, tx :1416601, rx :30068, txbr :92, rxbr :2, txAudioBr :80, rxAudioBr :0, users :1

duration : 130, tx :1440614, rx :30314, txbr :95, rxbr :0, txAudioBr :82, rxAudioBr :0, users :1

duration : 132, tx :1462827, rx :30806, txbr :88, rxbr :1, txAudioBr :77, rxAudioBr :0, users :1

duration : 134, tx :1485405, rx :31327, txbr :90, rxbr :2, txAudioBr :77, rxAudioBr :0, users :1

duration : 136, tx :1507144, rx :31573, txbr :86, rxbr :0, txAudioBr :73, rxAudioBr :0, users :1

duration : 138, tx :1528697, rx :32142, txbr :86, rxbr :2, txAudioBr :74, rxAudioBr :0, users :1

duration : 140, tx :1550008, rx :32388, txbr :85, rxbr :0, txAudioBr :73, rxAudioBr :0, users :1

duration : 142, tx :1571979, rx :32832, txbr :87, rxbr :1, txAudioBr :73, rxAudioBr :0, users :1

duration : 144, tx :1593563, rx :33203, txbr :86, rxbr :1, txAudioBr :74, rxAudioBr :0, users :1

duration : 146, tx :1614889, rx :33449, txbr :85, rxbr :0, txAudioBr :73, rxAudioBr :0, users :1

duration : 148, tx :1638281, rx :33970, txbr :93, rxbr :2, txAudioBr :79, rxAudioBr :0, users :1

duration : 150, tx :1660995, rx :34264, txbr :90, rxbr :1, txAudioBr :78, rxAudioBr :0, users :1

duration : 152, tx :1684256, rx :34708, txbr :93, rxbr :1, txAudioBr :81, rxAudioBr :0, users :1

duration : 154, tx :1708318, rx :35031, txbr :96, rxbr :1, txAudioBr :83, rxAudioBr :0, users :1

duration : 156, tx :1731972, rx :35523, txbr :94, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 158, tx :1755607, rx :35846, txbr :94, rxbr :1, txAudioBr :83, rxAudioBr :0, users :1

duration : 160, tx :1779509, rx :36092, txbr :95, rxbr :0, txAudioBr :82, rxAudioBr :0, users :1

duration : 162, tx :1803198, rx :36584, txbr :94, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 164, tx :1826730, rx :37105, txbr :94, rxbr :2, txAudioBr :82, rxAudioBr :0, users :1

duration : 166, tx :1850620, rx :37351, txbr :95, rxbr :0, txAudioBr :82, rxAudioBr :0, users :1

duration : 168, tx :1874157, rx :37920, txbr :93, rxbr :2, txAudioBr :81, rxAudioBr :0, users :1

duration : 170, tx :1897607, rx :38166, txbr :93, rxbr :0, txAudioBr :82, rxAudioBr :0, users :1

duration : 172, tx :1921746, rx :38610, txbr :96, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 174, tx :1945263, rx :38783, txbr :93, rxbr :0, txAudioBr :82, rxAudioBr :0, users :1

duration : 176, tx :1968857, rx :39227, txbr :94, rxbr :1, txAudioBr :82, rxAudioBr :0, users :1

duration : 178, tx :1992903, rx :39748, txbr :95, rxbr :2, txAudioBr :82, rxAudioBr :0, users :1

duration : 180, tx :2015320, rx :40042, txbr :89, rxbr :1, txAudioBr :77, rxAudioBr :0, users :1

duration : 182, tx :2037290, rx :40486, txbr :87, rxbr :1, txAudioBr :76, rxAudioBr :0, users :1

duration : 184, tx :2060305, rx :41007, txbr :91, rxbr :2, txAudioBr :73, rxAudioBr :0, users :1

duration : 186, tx :2081560, rx :41349, txbr :85, rxbr :1, txAudioBr :73, rxAudioBr :0, users :1

duration : 188, tx :2102950, rx :41870, txbr :85, rxbr :2, txAudioBr :73, rxAudioBr :0, users :1

duration : 190, tx :2124313, rx :42116, txbr :85, rxbr :0, txAudioBr :72, rxAudioBr :0, users :1

duration : 192, tx :2145837, rx :42608, txbr :86, rxbr :1, txAudioBr :73, rxAudioBr :0, users :1

duration : 194, tx :2167038, rx :42931, txbr :84, rxbr :1, txAudioBr :73, rxAudioBr :0, users :1

duration : 196, tx :2188576, rx :43177, txbr :86, rxbr :0, txAudioBr :72, rxAudioBr :0, users :1

duration : 198, tx :2212197, rx :43746, txbr :94, rxbr :2, txAudioBr :82, rxAudioBr :0, users :1

duration : 200, tx :2235052, rx :44190, txbr :91, rxbr :1, txAudioBr :79, rxAudioBr :0, users :1

duration : 202, tx :2257777, rx :44436, txbr :90, rxbr :0, txAudioBr :77, rxAudioBr :0, users :1

duration : 204, tx :2279351, rx :44807, txbr :86, rxbr :1, txAudioBr :74, rxAudioBr :0, users :1

duration : 206, tx :2301412, rx :45251, txbr :88, rxbr :1, txAudioBr :76, rxAudioBr :0, users :1

duration : 208, tx :2324580, rx :45574, txbr :92, rxbr :1, txAudioBr :79, rxAudioBr :0, users :1

duration : 210, tx :2347553, rx :45868, txbr :91, rxbr :1, txAudioBr :80, rxAudioBr :0, users :1

duration : 212, tx :2369550, rx :46312, txbr :87, rxbr :1, txAudioBr :76, rxAudioBr :0, users :1

duration : 214, tx :2392358, rx :46833, txbr :91, rxbr :2, txAudioBr :77, rxAudioBr :0, users :1

duration : 216, tx :2414177, rx :47127, txbr :87, rxbr :1, txAudioBr :75, rxAudioBr :0, users :1

duration : 218, tx :2436868, rx :47648, txbr :90, rxbr :2, txAudioBr :78, rxAudioBr :0, users :1

duration : 220, tx :2459740, rx :47894, txbr :91, rxbr :0, txAudioBr :78, rxAudioBr :0, users :1

duration : 222, tx :2482257, rx :48386, txbr :90, rxbr :1, txAudioBr :77, rxAudioBr :0, users :1

duration : 224, tx :2503838, rx :48709, txbr :86, rxbr :1, txAudioBr :75, rxAudioBr :0, users :1

duration : 226, tx :2525917, rx :48955, txbr :88, rxbr :0, txAudioBr :75, rxAudioBr :0, users :1

duration : 228, tx :2547697, rx :49524, txbr :87, rxbr :2, txAudioBr :74, rxAudioBr :0, users :1

duration : 230, tx :2569693, rx :49968, txbr :87, rxbr :1, txAudioBr :76, rxAudioBr :0, users :1

duration : 232, tx :2592210, rx :50214, txbr :90, rxbr :0, txAudioBr :76, rxAudioBr :0, users :1

duration : 234, tx :2615077, rx :50585, txbr :91, rxbr :1, txAudioBr :79, rxAudioBr :0, users :1

duration : 236, tx :2636799, rx :51029, txbr :86, rxbr :1, txAudioBr :75, rxAudioBr :0, users :1

duration : 238, tx :2659035, rx :51352, txbr :88, rxbr :1, txAudioBr :75, rxAudioBr :0, users :1

duration : 240, tx :2680372, rx :51646, txbr :85, rxbr :1, txAudioBr :73, rxAudioBr :0, users :1

duration : 242, tx :2701953, rx :52090, txbr :86, rxbr :1, txAudioBr :74, rxAudioBr :0, users :1

duration : 244, tx :2724494, rx :52611, txbr :90, rxbr :2, txAudioBr :72, rxAudioBr :0, users :1

duration : 246, tx :2746247, rx :52953, txbr :86, rxbr :1, txAudioBr :74, rxAudioBr :0, users :1

duration : 248, tx :2767621, rx :53474, txbr :85, rxbr :2, txAudioBr :73, rxAudioBr :0, users :1

duration : 250, tx :2789202, rx :53918, txbr :86, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 252, tx :2812651, rx :54212, txbr :93, rxbr :1, txAudioBr :81, rxAudioBr :0, users :1

duration : 254, tx :2834788, rx :54535, txbr :88, rxbr :1, txAudioBr :77, rxAudioBr :0, users :1

duration : 256, tx :2857298, rx :54979, txbr :90, rxbr :1, txAudioBr :76, rxAudioBr :0, users :1

duration : 258, tx :2879025, rx :55350, txbr :86, rxbr :1, txAudioBr :75, rxAudioBr :0, users :1

duration : 260, tx :2899879, rx :55596, txbr :83, rxbr :0, txAudioBr :72, rxAudioBr :0, users :1

duration : 262, tx :2921661, rx :56040, txbr :87, rxbr :1, txAudioBr :73, rxAudioBr :0, users :1

duration : 264, tx :2943228, rx :56609, txbr :86, rxbr :2, txAudioBr :73, rxAudioBr :0, users :1

duration : 266, tx :2964750, rx :56855, txbr :86, rxbr :0, txAudioBr :75, rxAudioBr :0, users :1

duration : 268, tx :2987543, rx :57376, txbr :91, rxbr :2, txAudioBr :77, rxAudioBr :0, users :1

duration : 270, tx :3009651, rx :57670, txbr :88, rxbr :1, txAudioBr :76, rxAudioBr :0, users :1

duration : 272, tx :3031847, rx :58114, txbr :88, rxbr :1, txAudioBr :77, rxAudioBr :0, users :1

duration : 274, tx :3053927, rx :58437, txbr :88, rxbr :1, txAudioBr :75, rxAudioBr :0, users :1

duration : 276, tx :3075877, rx :58731, txbr :87, rxbr :1, txAudioBr :76, rxAudioBr :0, users :1

duration : 278, tx :3098810, rx :59252, txbr :91, rxbr :2, txAudioBr :79, rxAudioBr :0, users :1

duration : 280, tx :3121885, rx :59696, txbr :92, rxbr :1, txAudioBr :78, rxAudioBr :0, users :1

duration : 282, tx :3144981, rx :59990, txbr :92, rxbr :1, txAudioBr :80, rxAudioBr :0, users :1

duration : 284, tx :3167455, rx :60313, txbr :89, rxbr :1, txAudioBr :78, rxAudioBr :0, users :1

duration : 286, tx :3190079, rx :60757, txbr :90, rxbr :1, txAudioBr :76, rxAudioBr :0, users :1

duration : 288, tx :3212130, rx :61128, txbr :88, rxbr :1, txAudioBr :76, rxAudioBr :0, users :1

duration : 290, tx :3233501, rx :61374, txbr :85, rxbr :0, txAudioBr :74, rxAudioBr :0, users :1

duration : 292, tx :3255578, rx :61818, txbr :88, rxbr :1, txAudioBr :74, rxAudioBr :0, users :1

duration : 294, tx :3277913, rx :62387, txbr :89, rxbr :2, txAudioBr :76, rxAudioBr :0, users :1

duration : 296, tx :3299438, rx :62633, txbr :86, rxbr :0, txAudioBr :75, rxAudioBr :0, users :1

duration : 298, tx :3322512, rx :63154, txbr :92, rxbr :2, txAudioBr :78, rxAudioBr :0, users :1

duration : 300, tx :3345162, rx :63448, txbr :90, rxbr :1, txAudioBr :78, rxAudioBr :0, users :1

duration : 302, tx :3367996, rx :63892, txbr :91, rxbr :1, txAudioBr :79, rxAudioBr :0, users :1

duration : 304, tx :3392445, rx :64215, txbr :97, rxbr :1, txAudioBr :80, rxAudioBr :0, users :1

